key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_AETHERYTE_MAINMENU_TITLE,Bienvenido a <hex:02280FFF0A>PlaceName<hex:E8020103>.
1,TEXT_AETHERYTE_TOWN_WARP,<hex:0212024603> Aethernet.
2,TEXT_AETHERYTE_HOUSING_WARP,<hex:0212024603> Aethernet del Distrito Residencial.
3,TEXT_AETHERYTE_MENU_WKT,"<hex:0212024603> Visitar otro Mundo (Servidor)."
4,TEXT_AETHERYTE_REGISTER_HOME_POINT_CHECKED,<hex:0212024503> Marcar como Punto de Retorno.
5,TEXT_AETHERYTE_REGISTER_HOME_POINT,<hex:0212024603> Marcar como Punto de Retorno.
6,TEXT_AETHERYTE_REGISTER_FAVORITE_CHECKED,<hex:0212024503> Registrar como Destino Favorito.
7,TEXT_AETHERYTE_REGISTER_FAVORITE,<hex:0212024603> Registrar como Destino Favorito.
8,TEXT_AETHERYTE_REGISTER_TOKEN_FAVORITE_CHECKED,<hex:020811E968FF06><hex:0212024403><hex:FF06><hex:0212027903><hex:03> Registrar Ubicación de Viaje Gratis con OTP.
9,TEXT_AETHERYTE_REGISTER_TOKEN_FAVORITE,<hex:0212024603> Registrar Ubicación de Viaje Gratis con OTP.
10,TEXT_AETHERYTE_REGISTER_PSPLUS_FAVORITE_CHECKED,<hex:020833E969FF17><hex:020813E4E94F64FF06><hex:0212027C03><hex:FF06><hex:0212027A03><hex:03><hex:FF17><hex:020813E4E94F64FF06><hex:0212024003><hex:FF06><hex:0212027B03><hex:03><hex:03>Registrar<hex:020822E4E94F64FF11>Ubicación de<hex:FF0A>Viaje Gratis con PSplus.<hex:03>
11,TEXT_AETHERYTE_REGISTER_PSPLUS_FAVORITE,<hex:020813E4E94F64FF06><hex:0212027C03><hex:FF06><hex:0212027A03><hex:03>Registrar<hex:020822E4E94F64FF11>Ubicación de<hex:FF0A>Viaje Gratis con PSplus.<hex:03>
12,TEXT_AETHERYTE_MOVE_INSTANCE,<hex:0212024603> Viajar entre Áreas Instanciadas.
13,TEXT_AETHERYTE_MENU_CANCEL,<hex:0212024603> Cancelar.
14,TEXT_AETHERYTE_AETHERNET_MENU_TITLE,Selecciona un destino.<hex:02100103>Ubicación Actual: <hex:022903EA0203>
15,TEXT_AETHERYTE_AETHERNET_MENU_TITLE_NONE_MESSAGE,<hex:02100103><hex:02100103>No hay otras Aethernet shards disponibles.<hex:02100103><hex:02100103>
16,TEXT_AETHERYTE_AETHERNET_DEST_NAME,<hex:02280FFF0A>PlaceName<hex:E8020103>.
17,TEXT_AETHERYTE_AETHERNET_MENU_CANCEL,Salir.
18,TEXT_AETHERYTE_MOVE_INSTANCE_MENU_CANCEL,<hex:02280DFF06>Addon<hex:F6018FC90103>
19,TEXT_AETHERYTE_FIRST_OPEN_01,Ahora tienes acceso a la Aethernet.
20,TEXT_AETHERYTE_FIRST_OPEN_02,"Podrás viajar a través de la ciudad simplemente poniendo tu mano sobre las Aethernet Shards."
21,TEXT_AETHERYTE_FULL_OPEN_FST,"Has sincronizado tu aether con todas las Aethernet Shards de Gridania. La Puerta del Mapache Azul, la Puerta de la Sierpe Amarilla, y la Zona de Aterrizaje de Dirigibles serán accesibles desde la Aethernet."
22,TEXT_AETHERYTE_FULL_OPEN_FST_WITH_WHITE_WOLF_GATE,You have attuned yourself to all the Aethernet shards in Gridania. The Blue Badger Gate, the Yellow Serpent Gate, the White Wolf Gate, and the airship landing are now accessible as Aethernet destinations.
23,TEXT_AETHERYTE_FULL_OPEN_SEA,You have attuned yourself to all the Aethernet shards in Limsa Lominsa. The Zephyr Gate, the Tempest Gate, and the airship landing are now accessible as Aethernet destinations.
24,TEXT_AETHERYTE_FULL_OPEN_WIL,You have attuned yourself to all the Aethernet shards in Ul'dah. The Gate of Nald, the Gate of Thal, the Gate of the Sultana, and the airship landing are now accessible as Aethernet destinations.
25,TEXT_AETHERYTE_FULL_OPEN_GOLDSAUCER,You have attuned yourself to all the Aethernet shards in the Manderville Gold Saucer.
26,TEXT_AETHERYTE_FULL_OPEN_TOWN_ROC,You have attuned yourself to all the Aethernet shards in Ishgard. The Gates of Judgement are now accessible as an Aethernet destination.
27,TEXT_AETHERYTE_FULL_OPEN_TOWN_IDYLLSHIRE,You have attuned yourself to all the Aethernet shards in Idyllshire. Epilogue Gate is now accessible as an Aethernet destination.
28,TEXT_AETHERYTE_FULL_OPEN_TOWN_IDYLLSHIRE_WITH_QUESTCOMP,You have attuned yourself to all the Aethernet shards in Idyllshire. Prologue Gate and Epilogue Gate are now accessible as Aethernet destinations.
29,TEXT_AETHERYTE_FULL_OPEN_TOWN_KUGANE,You have attuned yourself to all the Aethernet shards in Kugane. The airship landing is now accessible as an Aethernet destination.
30,TEXT_AETHERYTE_FULL_OPEN_TOWN_KUGANE_WITH_QUESTCOMP,You have attuned yourself to all the Aethernet shards in Kugane. The Ruby Price and the Kugane airship landing are now accessible as Aethernet destinations.
31,TEXT_AETHERYTE_FULL_OPEN_TOWN_RHALGRS_REACH,You have attuned yourself to all the Aethernet shards in Rhalgr's Reach. The Fringes Gate is now accessible as an Aethernet destination.
32,TEXT_AETHERYTE_FULL_OPEN_TOWN_RHALGRS_REACH_WITH_QUESTCOMP,You have attuned yourself to all the Aethernet shards in Rhalgr's Reach. The Fringes Gate and the Peaks Gate are now accessible as Aethernet destinations.
33,TEXT_AETHERYTE_FULL_OPEN_DOMAN_ENCLAVE,You have attuned yourself to all the Aethernet shards in the Doman Enclave. The One River is now accessible as an Aethernet destination.
34,TEXT_AETHERYTE_FULL_OPEN_DOMAN_ENCLAVE_WITH_QUESTCOMP,You have attuned yourself to all the Aethernet shards in the Doman Enclave. The One River and Gangos are now accessible as Aethernet destinations.
35,TEXT_AETHERYTE_FULL_OPEN_CRYSTALIUM,You have attuned yourself to all the Aethernet shards in the Crystarium. Lakeland is now accessible as an Aethernet destination.
36,TEXT_AETHERYTE_FULL_OPEN_EURMORE,You have attuned yourself to all the Aethernet shards in Eulmore. Kholusia is now accessible as an Aethernet destination.
37,TEXT_AETHERYTE_FULL_OPEN_OLD_SHARLAYAN,You have attuned yourself to all the Aethernet shards in Old Sharlayan.
38,TEXT_AETHERYTE_FULL_OPEN_OLD_SHARLAYAN_WITH_QUESTCOMP,You have attuned yourself to all the Aethernet shards in Old Sharlayan. Labyrinthos is now accessible as an Aethernet destination.
39,TEXT_AETHERYTE_FULL_OPEN_RADZ_AT_HAN,You have attuned yourself to all the Aethernet shards in Radz–at–Han.
40,TEXT_AETHERYTE_FULL_OPEN_RADZ_AT_HAN_WITH_QUESTCOMP,You have attuned yourself to all the Aethernet shards in Radz–at–Han. Thavnair is now accessible as an Aethernet destination.
